companyid;companyname;ticker;price;p_l;dy;p_vp;p_ebit;p_ativo;ev_ebit;margembruta;margemebit;margemliquida;p_sr;p_capitalgiro;p_ativocirculante;giroativos;roe;roa;roic;dividaliquidapatrimonioliquido;dividaliquidaebit;pl_ativo;passivo_ativo;liquidezcorrente;peg_ratio;receitas_cagr5;lucros_cagr5;liquidezmediadiaria;vpa;lpa;valormercado;segmentid;sectorid;subsectorid;subsectorname;segmentname;sectorname
496;NEOENERGIA S.A.;NEOE3;20,9;4,89;4,32;0,86;2,65;0,26;6,6;26,13;21,96;11,89;0,58;20,84;-0,34;0,45;17,61;5,33;12,45;1,29;3,96;0,3;0,7;1,06;0,21;15,85;66,47;21828567,35;24,28;4,28;25380500455,68;85;10,0;44,0;Energia Elétrica;Energia Elétrica;Utilidade Pública
316;NEXPE PARTICIPAÇÕES S.A;NEXP3;5,02;-0,1;;-0,09;-0,17;0,1;-0,79;86,77;-85,18;-147,0;0,14;-0,25;-0,16;0,73;-96,62;-107,69;97,23;;-0,63;-1,11;2,11;0,47;0,0;6,18;;11847,33;-53,94;-52,12;13330956,38;52;4,0;22,0;Exploração de Imóveis;Intermediação Imobiliária;Financeiro e Outros
659;NEOGRID PARTICIPACOES S.A.;NGRD3;1,24;31,94;1,19;0,65;-20,45;0,44;-8,87;63,47;-5,34;3,42;1,09;1,78;-0,77;0,4;2,03;1,38;-4,51;-0,37;11,58;0,68;0,32;2,37;0,07;10,18;3,51;505171,65;1,91;0,04;295941289,2;82;8,0;41,0;Programas e Serviços;Programas e Serviços;Tecnologia da Informação
773;GETNINJAS S.A.;NINJ3;4,93;83,81;;0,88;-9,22;0,82;0,96;91,84;-44,7;4,92;4,12;0,93;-13,7;0,2;1,05;0,98;-10,12;-0,97;10,18;0,94;0,06;16,07;-0,74;;;500784,13;5,61;0,06;250429293,81;82;8,0;41,0;Programas e Serviços;Programas e Serviços;Tecnologia da Informação
186;NORDON INDUSTRIAS METALURGICAS S.A.;NORD3;16,18;-14,12;;-0,68;22,22;5,7;28,89;91,45;211,48;-332,85;46,99;-0,66;-6,22;0,12;-4,8;-40,38;-4,03;;7,95;-8,41;9,41;0,01;2,16;23,27;;187331,12;-23,62;-1,13;99918223,74;8;1,0;3,0;Máquinas e Equipamentos;Máq. e Equip. Industriais;Bens Industriais
566;NORTEC QUÍMICA S.A.;NRTQ3;0,0;0,0;;0,0;0,0;0,0;0,32;27,82;17,1;18,21;0,0;0,0;0,0;0,68;17,37;12,36;12,35;0,05;0,32;0,71;0,29;4,82;0,0;9,53;24,53;;19,95;3,46;0,0;79;7,0;38,0;Medicamentos e Outros Produtos;Medicamentos e Outros Produtos;Saúde
301;NATURA &CO HOLDING S.A.;NTCO3;16,87;4,93;;0,83;-76,52;0,46;-74,5;64,98;-0,93;14,39;0,71;2,98;-0,71;0,65;16,95;9,39;-3,13;-0,02;1,84;0,55;0,45;1,82;-0,01;29,83;47,94;143614516,87;20,21;3,43;23340652950,78;50;3,0;21,0;Produtos de Uso Pessoal e de Limpeza;Produtos de Uso Pessoal;Consumo não Cíclico
586;NUTRIPLANT INDUSTRIA E COMERCIO S.A.;NUTR3;6,14;21,26;;2,47;7,71;0,77;8,28;16,12;6,42;2,33;0,5;2,32;-2,48;1,56;11,63;3,63;21,12;0,18;0,57;0,31;0,69;1,94;-0,38;36,34;;88078,84;2,48;0,29;81320616,0;69;5,0;33,0;Químicos;Fertilizantes e Defensivos;Materiais Básicos
288;CONSERVAS ODERICH S.A.;ODER4;98,91;7,44;0,63;2,24;5,93;1,27;6,57;30,41;18,23;14,52;1,08;2,58;-4,42;1,17;30,11;17,04;24,81;0,24;0,65;0,57;0,43;3,21;0,1;18,87;54,31;9450,5;44,13;13,29;1116407654,46;44;3,0;17,0;Alimentos Processados;Alimentos Diversos;Consumo não Cíclico
429;ODONTOPREV S.A.;ODPV3;11,92;13,39;2,14;4,49;10,8;3,17;10,2;40,91;28,94;23,34;3,13;-163,28;-4,05;1,01;33,5;23,65;27,76;-0,24;-0,57;0,71;0,29;0,92;0,47;5,77;-0,45;16150549,42;2,66;0,89;6569173433,07;80;7,0;39,0;Serv.Méd.Hospit..Análises e Diagnósticos;Serv.Méd.Hospit..Análises e Diagnósticos;Saúde
418;OURO FINO SAUDE ANIMAL PARTICIPACOES S.A.;OFSA3;23,6;-54,51;0,83;1,9;11,7;1,0;12,48;48,31;11,04;-2,37;1,29;2,63;-2,75;0,78;-3,49;-1,84;0,96;0,13;0,79;0,53;0,47;2,51;0,46;15,56;;350895,97;12,41;-0,43;1273196541,6;77;7,0;36,0;Comércio e Distribuição;Medicamentos e Outros Produtos;Saúde
405;ÓLEO E GÁS PARTICIPAÇÕES S.A.;OGXP3;1,63;-2,15;;-0,98;-9,26;0,92;-9,26;;;;;-0,98;;0,0;-45,53;-43,02;10,57;;0,0;-0,94;1,94;0,51;0,02;;;;-1,67;-0,76;52747073,84;76;6,0;35,0;Petróleo. Gás e Biocombustíveis;Exploração. Refino e Distribuição;Petróleo. Gás e Biocombustíveis
436;OI S.A.;OIBR3;0,61;-0,02;;-0,02;-0,02;0,01;-1,33;-3,74;-173,59;-224,73;0,04;-0,1;-0,02;0,34;-84,29;-76,06;1223,14;;-1,3;-0,9;1,9;0,72;0,0;-15,11;;2665621,19;-40,62;-34,24;424372409,7;83;9,0;42,0;Telecomunicações;Telecomunicações;Comunicações
436;OI S.A.;OIBR4;1,56;-0,05;;-0,04;-0,06;0,03;-1,33;-3,74;-173,59;-224,73;0,1;-0,26;-0,05;0,34;-84,29;-76,06;1223,14;;-1,3;-0,9;1,9;0,72;0,0;-15,11;;45240,0;-40,62;-34,24;424372409,7;83;9,0;42,0;Telecomunicações;Telecomunicações;Comunicações
476;OMEGA GERAÇÃO S.A.;OMGE3;27,57;60,97;;1294,14;14,84;443,36;14,86;28,35;29,22;7,11;4,34;17603,37;-525,74;102,22;2122,56;727,18;3736,63;1,1;0,01;0,34;0,66;1,19;-0,75;34,84;-2,04;;0,02;0,45;5521562588,85;85;10,0;44,0;Energia Elétrica;Energia Elétrica;Utilidade Pública
800;ONCOCLINICAS DO BRASIL SERVICOS MEDICOS S.A.;ONCO3;12,06;29,01;;2,87;8,25;0,74;12,16;35,93;14,63;4,16;1,21;7,3;-1,07;0,61;9,9;2,55;11,13;1,36;3,91;0,26;0,69;1,48;-0,01;;;24805256,94;4,2;0,42;6361428071,88;80;7,0;39,0;Serv.Méd.Hospit..Análises e Diagnósticos;Serv.Méd.Hospit..Análises e Diagnósticos;Saúde
682;OCEANPACT SERVICOS MARITIMOS S.A.;OPCT3;5,64;13,8;;1,42;4,33;0,47;8,1;22,65;16,79;5,27;0,73;5,41;-0,66;0,64;10,27;3,37;11,91;1,23;3,77;0,33;0,67;1,41;-0,08;47,73;62,06;4016413,61;3,97;0,41;1125772289,02;17;1,0;6,0;Transporte;Transporte Hidroviário;Bens Industriais
740;ORIZON VALORIZACAO DE RESIDUOS S.A.;ORVR3;35,35;-23,54;;4,75;22,08;1,31;29,18;30,63;17,55;-16,46;3,87;8,81;-1,8;0,34;-20,17;-5,56;5,58;1,53;7,11;0,28;0,7;2,22;-0,45;22,01;;16608226,19;7,44;-1,5;2932313926,15;84;10,0;43,0;Água e Saneamento;Água e Saneamento;Utilidade Pública
402;OSX BRASIL S.A.;OSXB3;4,54;-0,04;;0,0;0,02;0,01;10,15;90,64;1360,32;-767,58;0,33;-0,02;-0,01;0,02;-5,25;-12,01;-115,0;;10,13;-2,29;3,29;0,02;0,0;26,98;;20519,9;-1978,77;-103,9;13851367,2;75;6,0;35,0;Petróleo. Gás e Biocombustíveis;Equipamentos e Serviços;Petróleo. Gás e Biocombustíveis
427;INSTITUTO HERMES PARDINI S.A.;PARD3;20,25;36,76;10,64;5,3;19,27;2,1;19,93;26,45;13,31;6,98;2,57;-54,06;-3,28;0,82;14,42;5,7;14,8;0,18;0,66;0,4;0,6;0,9;-1,04;13,44;2,56;7882065,83;3,82;0,55;5403493010,25;80;7,0;39,0;Serv.Méd.Hospit..Análises e Diagnósticos;Serv.Méd.Hospit..Análises e Diagnósticos;Saúde
394;PANATLANTICA S.A.;PATI3;29,4;134,74;1,64;0,83;16,39;0,41;14,09;8,88;2,27;0,28;0,37;0,84;-1,76;1,11;0,62;0,31;1,75;-0,12;-2,39;0,5;0,5;2,78;-1,45;23,42;-21,3;10264,09;35,34;0,22;707302678,2;73;5,0;34,0;Siderurgia e Metalurgia;Artefatos de Ferro e Aço;Materiais Básicos
394;PANATLANTICA S.A.;PATI4;33,0;151,24;6,39;0,93;18,4;0,46;14,09;8,88;2,27;0,28;0,42;0,94;-1,98;1,11;0,62;0,31;1,75;-0,12;-2,39;0,5;0,5;2,78;-1,63;23,42;-21,3;7301,0;35,34;0,22;707302678,2;73;5,0;34,0;Siderurgia e Metalurgia;Artefatos de Ferro e Aço;Materiais Básicos
299;CIA BRASILEIRA DE DISTRIBUICAO;PCAR3;4,45;-0,41;;0,24;-2,33;0,05;-6,78;-79,59;-212,24;-1200,41;4,95;0,64;-0,08;0,01;-58,63;-12,96;-11,07;0,46;-4,44;0,22;0,78;1,32;0,0;-17,25;;52285448,71;18,57;-10,89;1212924419,81;47;3,0;19,0;Comércio e Distribuição;Alimentos;Consumo não Cíclico
299;CIA BRASILEIRA DE DISTRIBUICAO;PCAR4;72,11;-6,62;;3,88;-37,46;0,86;-6,78;-79,59;-212,24;-1200,41;79,51;10,23;-1,32;0,01;-58,63;-12,96;-11,07;0,46;-4,44;0,22;0,78;1,32;0,03;-17,25;;;18,57;-10,89;1212924419,81;47;3,0;19,0;Comércio e Distribuição;Alimentos;Consumo não Cíclico
239;PDG REALTY S.A. EMPREEND E PARTICIPACOES;PDGR3;0,41;-0,03;;-0,01;-1,08;0,03;-47,37;60,91;-21,85;-681,34;0,24;-0,01;-0,13;0,13;-17,17;-87,98;2,46;;-46,29;-5,12;6,19;0,22;0,0;-23,6;;5724560,42;-69,17;-11,88;31892453,11;23;2,0;9,0;Construção Civil;Incorporações;Consumo Cíclico
370;PADTEC HOLDING S.A.;PDTC3;3,0;10,69;;1,59;6,24;0,45;7,89;35,71;10,17;5,93;0,63;1,22;-1,48;0,71;14,89;4,19;13,54;0,42;1,65;0,28;0,72;2,1;0,01;276,1;3,91;245210,68;1,93;0,29;243981165,12;62;4,0;28,0;Serviços Financeiros Diversos;Serviços Financeiros Diversos;Financeiro e Outros
320;CIA PARTICIPACOES ALIANCA DA BAHIA;PEAB3;36,0;20,5;0,82;0,67;25,1;0,53;22,71;81,61;36,95;45,24;9,28;1,87;-0,76;0,06;3,27;2,58;1,61;-0,17;-6,23;0,79;0,21;12,49;-0,17;-34,5;-9,41;41600,5;53,74;1,76;533350788,39;53;4,0;23,0;Holdings Diversificadas;Holdings Diversificadas;Financeiro e Outros
320;CIA PARTICIPACOES ALIANCA DA BAHIA;PEAB4;47,01;26,77;0,69;0,87;32,78;0,69;22,71;81,61;36,95;45,24;12,11;2,44;-1,0;0,06;3,27;2,58;1,61;-0,17;-6,23;0,79;0,21;12,49;-0,22;-34,5;-9,41;111845,9;53,74;1,76;533350788,39;53;4,0;23,0;Holdings Diversificadas;Holdings Diversificadas;Financeiro e Outros
408;PETROLEO BRASILEIRO S.A. PETROBRAS;PETR3;39,33;3,75;18,61;1,33;2,47;0,5;3,58;51,08;38,69;25,53;0,96;-70,67;-0,58;0,52;35,47;13,35;21,54;0,62;1,15;0,38;0,62;0,95;-0,17;17,72;;346228527,39;29,59;10,5;505365265637,34;76;6,0;35,0;Petróleo. Gás e Biocombustíveis;Exploração. Refino e Distribuição;Petróleo. Gás e Biocombustíveis
408;PETROLEO BRASILEIRO S.A. PETROBRAS;PETR4;37,97;3,62;19,28;1,28;2,39;0,48;3,58;51,08;38,69;25,53;0,92;-68,21;-0,56;0,52;35,47;13,35;21,54;0,62;1,15;0,38;0,62;0,95;-0,16;17,72;;1275601432,77;29,59;10,5;505365265637,34;76;6,0;35,0;Petróleo. Gás e Biocombustíveis;Exploração. Refino e Distribuição;Petróleo. Gás e Biocombustíveis
627;PET CENTER COMERCIO E PARTICIPACOES S.A.;PETZ3;3,5;50,67;0,3;0,9;11,6;0,41;11,49;46,61;4,46;1,02;0,52;2,51;-0,62;0,79;1,78;0,81;5,4;-0,01;-0,11;0,45;0,55;1,9;-1,08;36,54;22,89;54295556,61;3,9;0,07;1623457492,02;21;2,0;8,0;Comércio;Produtos Diversos;Consumo Cíclico
419;PROFARMA DISTRIB PROD FARMACEUTICOS S.A.;PFRM3;4,69;12,56;;0,46;2,53;0,12;4,83;14,64;2,71;0,54;0,07;0,66;-0,43;1,82;3,69;0,99;10,16;0,42;2,3;0,27;0,67;1,37;-0,27;13,77;;1953529,1;10,19;0,38;584396288,56;77;7,0;36,0;Comércio e Distribuição;Medicamentos e Outros Produtos;Saúde
624;EMPREENDIMENTOS PAGUE MENOS S.A.;PGMN3;3,54;-9,54;5,25;0,75;3,97;0,22;6,47;31,86;4,4;-1,83;0,17;1,35;-0,45;1,26;-7,86;-2,31;7,28;0,47;2,5;0,29;0,71;1,48;0,03;9,03;;5167586,94;4,72;-0,37;1917902828,4;77;7,0;36,0;Comércio e Distribuição;Medicamentos e Outros Produtos;Saúde
342;BCO PINE S.A.;PINE3;4,99;7,42;12,6;1,07;6,36;0,05;5,98;15,73;8,85;7,58;0,56;;-0,05;0,1;14,41;0,72;;;;0,05;0,95;;0,02;8,44;;1937,5;4,67;0,67;980658265,56;54;4,0;24,0;Intermediários Financeiros;Bancos;Financeiro e Outros
342;BCO PINE S.A.;PINE4;4,36;6,53;14,32;0,94;5,59;0,05;5,98;15,73;8,85;7,58;0,49;;-0,05;0,1;14,41;0,72;;;;0,05;0,95;;0,02;8,44;;3017090,0;4,67;0,67;980658265,56;54;4,0;24,0;Intermediários Financeiros;Bancos;Financeiro e Outros
214;PLASCAR PARTICIPACOES INDUSTRIAIS S.A.;PLAS3;7,21;6,23;;-0,25;1,91;0,13;8,0;11,34;5,12;1,57;0,1;-0,35;-0,19;1,38;-4,02;2,15;19,94;;6,09;-0,54;1,54;0,43;-0,05;16,19;;3930,0;-28,77;1,16;89587263,78;19;2,0;7,0;Automóveis e Motocicletas;Automóveis e Motocicletas;Consumo Cíclico
629;PLANO & PLANO DESENVOLVIMENTO IMOBILIÁRIO S.A.;PLPL3;11,89;9,95;1,35;4,05;8,47;1,22;8,89;33,71;15,29;13,02;1,3;2,15;-8,52;0,94;40,72;12,27;22,01;0,2;0,42;0,3;0,68;2,96;0,07;;;12653331,81;2,92;1,19;2420433600,0;23;2,0;9,0;Construção Civil;Incorporações;Consumo Cíclico
391;PARANAPANEMA S.A.;PMAM3;4,13;-0,06;;-0,04;-0,11;0,09;-2,38;-57,2;-149,43;-297,02;0,17;-0,05;-0,14;0,56;-78,99;-166,84;427,96;;-2,27;-2,11;3,11;0,15;0,0;-10,58;;93313,52;-92,34;-72,94;179257896,37;72;5,0;34,0;Siderurgia e Metalurgia;Artefatos de Cobre;Materiais Básicos
416;DIMED S.A. DISTRIBUIDORA DE MEDICAMENTOS;PNVL3;12,2;20,71;0,44;1,6;11,63;0,62;16,8;30,91;3,62;2,04;0,42;2,52;-1,51;1,47;7,73;2,99;6,9;0,71;5,17;0,39;0,61;1,71;6,77;12,06;8,04;5177854,23;7,57;0,59;1822575069,72;77;7,0;36,0;Comércio e Distribuição;Medicamentos e Outros Produtos;Saúde
416;DIMED S.A. DISTRIBUIDORA DE MEDICAMENTOS;PNVL4;18,62;31,81;;2,46;17,87;0,95;16,8;30,91;3,62;2,04;0,65;3,87;-2,31;1,47;7,73;2,99;6,9;0,71;5,17;0,39;0,61;1,71;10,41;12,06;8,04;;7,57;0,59;1822575069,72;77;7,0;36,0;Comércio e Distribuição;Medicamentos e Outros Produtos;Saúde
192;MARCOPOLO S.A.;POMO3;5,62;6,68;4,13;1,58;7,43;0,7;10,23;21,68;11,16;12,41;0,83;2,15;-1,77;0,84;23,64;10,46;10,28;0,31;1,44;0,44;0,55;2,16;0,03;13,49;61,66;1500037,45;3,56;0,84;6296018089,02;11;1,0;4,0;Material de Transporte;Material Rodoviário;Bens Industriais
192;MARCOPOLO S.A.;POMO4;7,25;8,59;4,59;2,03;9,55;0,9;10,23;21,68;11,16;12,41;1,07;2,77;-2,28;0,84;23,64;10,46;10,28;0,31;1,44;0,44;0,55;2,16;0,04;13,49;61,66;54468495,58;3,56;0,84;6296018089,02;11;1,0;4,0;Material de Transporte;Material Rodoviário;Bens Industriais
201;WILSON SONS HOLDINGS BRASIL S.A.;PORT3;16,93;18,85;3,72;3,26;11,36;1,3;15,09;44,66;27,84;16,78;3,16;-52,09;-1,51;0,41;17,27;6,89;10,67;1,07;3,73;0,4;0,6;0,85;0,35;7,48;11,5;3559803,58;5,22;0,9;7484211189,0;14;1,0;6,0;Transporte;Serviços de Apoio e Armazenagem;Bens Industriais
432;POSITIVO TECNOLOGIA S.A.;POSI3;6,61;4,9;7,78;0,65;1,91;0,22;3,69;30,03;13,75;5,35;0,26;0,61;-1,15;0,86;13,21;4,58;17,99;0,61;1,78;0,35;0,65;1,83;-0,63;21,15;;8295116,35;10,21;1,35;937298000,0;81;8,0;40,0;Computadores e Equipamentos;Computadores e Equipamentos;Tecnologia da Informação
679;FOCUS ENERGIA HOLDING PARTICIPAÇÕES S.A;POWE3;10,9;23,92;;0,99;17,55;0,38;10,6;6,82;3,52;2,59;0,62;6,57;-0,74;0,61;4,13;1,58;3,81;-0,39;-6,96;0,38;0,62;1,13;-1,77;;;;11,02;0,46;977237930,4;85;10,0;44,0;Energia Elétrica;Energia Elétrica;Utilidade Pública
567;POLPAR S.A.;PPAR3;14,6;0,82;85,96;0,04;1,03;0,03;-1,7;;;;;0,37;-0,03;0,0;5,05;3,65;3,84;-0,11;-2,73;0,72;0,28;84,67;0,02;;37,08;;352,82;17,82;2160800,0;57;4,0;25,0;Outros;Outros;Financeiro e Outros
365;PPLA PARTICIPATIONS LTD.;PPLA11;3,79;-5333,79;;1333,45;-5333,79;12,96;-5333,79;;;;;-10667,58;-1185,29;0,0;-25,0;-0,24;;;;0,01;0,99;1,0;45,13;;;965,61;0,0;0,0;10667584,14;61;4,0;28,0;Serviços Financeiros Diversos;Gestão de Recursos e Investimentos;Financeiro e Outros
406;PETRO RIO S.A.;PRIO3;44,67;8,76;0,16;3,1;7,13;1,4;8,61;62,28;55,18;44,93;3,94;32,49;-1,7;0,36;35,33;15,98;22,46;0,64;1,48;0,45;0,55;1,32;0,29;64,15;145,76;493381475,81;14,46;5,11;39928602645,84;76;6,0;35,0;Petróleo. Gás e Biocombustíveis;Exploração. Refino e Distribuição;Petróleo. Gás e Biocombustíveis
175;PRINER SERVIÇOS INDUSTRIAIS S.A.;PRNR3;11,04;-1589,35;;1,9;4,63;0,59;6,57;20,94;9,2;-0,03;0,43;3,58;-1,21;1,39;-0,12;-0,04;13,66;0,79;1,93;0,31;0,67;1,49;15,78;28,03;;2345382,74;5,84;-0,01;430714404,99;12;1,0;5,0;Serviços;Serviços Diversos;Bens Industriais
361;PORTO SEGURO S.A.;PSSA3;27,17;8,09;5,19;1,48;7,73;0,32;2,69;100,0;7,28;6,95;0,56;5,71;-0,96;0,57;18,33;3,97;11,13;-0,97;-5,03;0,22;0,78;1,09;0,08;10,41;14,57;41465154,84;18,34;3,36;17587140832,0;59;4,0;26,0;Previdência e Seguros;Seguradoras;Financeiro e Outros
169;PBG S/A;PTBL3;6,65;-23,25;3,16;2,45;6,31;0,31;12,16;39,65;6,96;-1,89;0,44;-41,76;-0,51;0,7;-10,54;-1,33;9,19;2,27;5,85;0,13;0,87;0,98;0,19;16,49;;4666463,16;2,71;-0,29;936152923,04;4;1,0;2,0;Construção e Engenharia;Produtos para Construção;Bens Industriais
187;PRATICA KLIMAQUIP INDUSTRIA E COMERCIO SA;PTCA11;0,0;0,0;;0,0;0,0;0,0;1,09;46,88;14,11;8,55;0,0;0,0;0,0;1,16;26,22;9,9;16,76;0,47;1,09;0,38;0,62;1,96;0,0;21,08;27,39;;28,81;7,55;0,0;8;1,0;3,0;Máquinas e Equipamentos;Máq. e Equip. Industriais;Bens Industriais
187;PRATICA KLIMAQUIP INDUSTRIA E COMERCIO SA;PTCA3;0,0;0,0;;0,0;0,0;0,0;1,09;46,88;14,11;8,55;0,0;0,0;0,0;1,16;26,22;9,9;16,76;0,47;1,09;0,38;0,62;1,96;0,0;21,08;27,39;;28,81;7,55;0,0;8;1,0;3,0;Máquinas e Equipamentos;Máq. e Equip. Industriais;Bens Industriais
267;PETTENATI S.A. INDUSTRIA TEXTIL;PTNT3;11,96;11,51;;1,53;7,38;0,67;7,1;17,15;9,51;6,09;0,7;2,49;-1,37;0,96;13,32;5,83;9,21;0,24;1,14;0,44;0,47;2,11;-0,44;11,78;15,14;36133,45;7,8;1,04;463813705,04;33;2,0;13,0;Tecidos. Vestuário e Calçados;Fios e Tecidos;Consumo Cíclico
267;PETTENATI S.A. INDUSTRIA TEXTIL;PTNT4;8,5;8,18;;1,09;5,24;0,48;7,1;17,15;9,51;6,09;0,5;1,77;-0,98;0,96;13,32;5,83;9,21;0,24;1,14;0,44;0,47;2,11;-0,31;11,78;15,14;77020,53;7,8;1,04;463813705,04;33;2,0;13,0;Tecidos. Vestuário e Calçados;Fios e Tecidos;Consumo Cíclico
409;QGEP PARTICIPAÇÕES S.A.;QGEP3;14,54;55,89;1,03;1,0;15,16;0,47;17,65;36,94;15,75;4,27;2,39;3,73;-0,67;0,2;1,78;0,85;3,15;0,16;2,49;0,47;0,53;1,77;-0,59;34,1;-28,0;;14,58;0,26;3864832398,7;76;;;;;
430;QUALICORP CONSULTORIA E CORRETORA DE SEGUROS S.A.;QUAL3;2,98;-21,12;2,66;0,64;8,98;0,18;22,76;77,16;5,27;-2,24;0,47;3,81;-0,28;0,38;-3,02;-0,86;1,02;0,98;13,78;0,28;0,71;1,16;0,18;-1,22;;15825167,1;4,67;-0,14;846362688,5;80;7,0;39,0;Serv.Méd.Hospit..Análises e Diagnósticos;Serv.Méd.Hospit..Análises e Diagnósticos;Saúde
568;QUALITY SOFTWARE S.A.;QUSW3;0,0;0,0;;0,0;0,0;0,0;1,21;89,05;50,37;21,46;0,0;0,0;0,0;0,33;20,69;6,99;21,6;0,59;1,21;0,34;0,66;1,56;0,0;-6,67;;;88,35;18,28;0,0;82;8,0;41,0;Programas e Serviços;Programas e Serviços;Tecnologia da Informação
348;524 PARTICIPACOES S.A.;QVQP3B;0,0;0,0;;0,0;0,0;0,0;1,22;;;;;0,0;;0,0;-68,49;-68,49;-80,14;-0,98;1,22;1,0;0,0;;0,0;;;;0,0;0,0;0,0;57;4,0;25,0;Outros;Outros;Financeiro e Outros
420;RAIA DROGASIL S.A.;RADL3;27,48;43,74;0,71;8,25;22,87;2,44;24,07;29,98;6,28;3,28;1,44;13,04;-5,85;1,7;18,86;5,57;21,88;0,43;1,2;0,3;0,7;1,47;1,95;17,08;16,12;111708255,19;3,33;0,63;47210837856,0;77;7,0;36,0;Comércio e Distribuição;Medicamentos e Outros Produtos;Saúde
207;RUMO S.A.;RAIL3;21,88;42,14;0,3;2,54;10,87;0,82;14,12;36,76;35,38;9,13;3,85;7,12;-1,07;0,21;6,04;1,95;10,08;0,76;3,25;0,32;0,67;1,99;-0,04;10,6;;268714754,77;8,59;0,52;40547435225,14;16;1,0;6,0;Transporte;Transporte Ferroviário;Bens Industriais
798;RAIZEN S.A.;RAIZ4;3,75;11,46;7,11;1,7;3,49;0,35;6,33;7,99;4,97;1,52;0,17;14,64;-0,61;2,0;14,79;3,04;14,92;1,38;2,84;0,21;0,79;1,06;0,07;;;76539405,81;2,21;0,33;38821910565,0;76;6,0;35,0;Petróleo. Gás e Biocombustíveis;Exploração. Refino e Distribuição;Petróleo. Gás e Biocombustíveis
374;Irani Papel e Embalagem S.A.;RANI3;10,22;5,45;8,35;1,95;3,82;0,72;5,41;46,85;40,73;28,58;1,56;2,93;-1,09;0,47;35,81;13,31;17,18;0,81;1,59;0,37;0,63;3,91;0,18;14,44;;9425202,81;5,24;1,88;2517792240,18;63;5,0;29,0;Embalagens;Embalagens;Materiais Básicos
374;Irani Papel e Embalagem S.A.;RANI4;5,5;2,93;;1,05;2,06;0,39;5,41;46,85;40,73;28,58;0,84;1,58;-0,58;0,47;35,81;13,31;17,18;0,81;1,59;0,37;0,63;3,91;0,1;14,44;;;5,24;1,88;2517792240,18;63;5,0;29,0;Embalagens;Embalagens;Materiais Básicos
